macAdress;timestamp;identificao-mainframe;uso_cpu_total_%;uso_ram_total_%;swap_rate_mbs;tempo_cpu_ociosa;cpu_io_wait;uso_disco_total_%;disco_throughput_mbs;disco_iops_total;disco_read_count;disco_write_count;disco_latencia_ms
269058769682378;28-10-2025 19:04:40;PC;9.3;44.5;0.0;88.0;0.0;68.0;0.03;11;0;11;90.94
269058769682378;28-10-2025 19:04:43;PC;8.3;44.4;0.0;86.9;0.0;68.0;0.08;4;0;4;250.14
269058769682378;28-10-2025 19:04:46;PC;8.3;44.5;0.0;91.7;0.0;68.0;0.14;6;0;6;166.81
269058769682378;28-10-2025 19:04:49;PC;8.3;44.4;0.0;90.5;0.0;68.0;0.05;32;0;32;31.29
269058769682378;28-10-2025 19:04:52;PC;7.1;44.5;0.0;90.5;0.0;68.0;0.02;0;0;0;0.0
269058769682378;28-10-2025 19:04:55;PC;5.6;44.5;0.0;91.7;0.0;68.0;0.0;9;0;9;111.22
269058769682378;28-10-2025 19:04:59;PC;8.3;44.6;0.0;83.3;0.0;68.0;3.75;16;0;16;62.52
269058769682378;28-10-2025 19:05:02;PC;16.7;45.1;0.0;81.9;0.0;68.0;3.01;7;0;7;143.01
269058769682378;28-10-2025 19:05:05;PC;6.9;43.6;0.0;88.9;0.0;68.0;0.63;13;2;11;76.94
269058769682378;28-10-2025 19:05:08;PC;8.3;43.7;0.0;86.1;0.0;68.0;0.0;1;0;1;1000.49
269058769682378;28-10-2025 19:05:11;PC;9.1;43.5;0.0;89.6;0.0;68.0;0.23;12;0;12;83.4
269058769682378;28-10-2025 19:05:14;PC;10.7;43.6;0.0;88.1;0.0;68.0;0.0;8;0;8;125.06
269058769682378;28-10-2025 19:05:17;PC;8.3;44.0;0.0;91.7;0.0;68.0;0.0;78;0;78;12.83
269058769682378;28-10-2025 19:05:20;PC;8.3;44.0;0.0;91.7;0.0;68.0;1.25;48;0;48;20.85
269058769682378;28-10-2025 19:05:23;PC;3.8;44.1;0.0;94.9;0.0;68.0;0.02;11;0;11;90.93
269058769682378;28-10-2025 19:05:27;PC;8.1;44.0;0.0;83.8;0.0;68.0;0.16;4;1;3;250.21
269058769682378;28-10-2025 19:05:30;PC;9.1;44.0;0.0;90.9;0.0;68.0;0.02;2;0;2;500.4
269058769682378;28-10-2025 19:05:33;PC;8.5;43.9;0.0;78.0;0.0;68.0;0.02;2;0;2;500.23
269058769682378;28-10-2025 19:05:36;PC;7.9;43.9;0.0;90.8;0.0;68.0;0.1;4;0;4;250.15
269058769682378;28-10-2025 19:05:39;PC;9.7;43.9;0.0;65.3;0.0;68.0;0.0;2;0;2;500.42
269058769682378;28-10-2025 19:05:42;PC;9.6;43.8;0.0;86.3;0.0;68.0;0.02;9;0;9;111.15
269058769682378;28-10-2025 19:05:45;PC;6.9;43.8;0.0;91.7;0.0;68.0;0.05;7;0;7;142.89
269058769682378;28-10-2025 19:05:48;PC;8.2;43.9;0.0;91.8;0.0;68.0;0.01;4;0;4;250.23
269058769682378;28-10-2025 19:05:51;PC;8.3;43.8;0.0;86.1;0.0;68.0;0.0;2;0;2;500.26
269058769682378;28-10-2025 19:05:55;PC;8.3;43.9;0.0;87.5;0.0;68.0;0.01;2;0;2;500.13
269058769682378;28-10-2025 19:05:58;PC;4.8;43.9;0.0;85.7;0.0;68.0;0.02;1;0;1;1000.44
269058769682378;28-10-2025 19:06:01;PC;8.3;43.9;0.0;90.5;0.0;68.0;0.0;19;1;18;52.69
269058769682378;28-10-2025 19:06:04;PC;6.4;43.9;0.0;91.0;0.0;68.0;0.01;2;0;2;500.3
269058769682378;28-10-2025 19:06:07;PC;6.9;43.9;0.0;90.3;0.0;68.0;0.04;0;0;0;0.0
269058769682378;28-10-2025 19:06:10;PC;11.1;43.3;0.0;81.9;0.0;68.0;0.12;13;0;13;76.95
269058769682378;28-10-2025 19:06:14;PC;11.1;44.3;0.0;63.9;0.0;68.0;0.2;0;0;0;0.0
269058769682378;28-10-2025 19:06:17;PC;9.6;43.8;0.0;86.3;0.0;68.0;1.1;5;0;5;200.16
269058769682378;28-10-2025 19:06:20;PC;11.7;44.0;0.0;83.1;0.0;68.0;1.64;31;30;1;32.28
269058769682378;28-10-2025 19:06:23;PC;7.1;43.9;0.0;91.7;0.0;68.0;4.7;41;38;3;24.41
269058769682378;28-10-2025 19:06:26;PC;6.0;44.0;0.0;91.7;0.0;68.0;5.95;143;133;10;7.0
269058769682378;28-10-2025 19:06:29;PC;11.7;43.9;0.0;85.7;0.0;68.0;62.62;509;509;0;1.97
269058769682378;28-10-2025 19:06:32;PC;5.6;43.9;0.0;91.7;0.0;68.0;33.93;419;416;3;2.39
269058769682378;28-10-2025 19:06:35;PC;6.9;43.8;0.0;91.7;0.0;68.0;29.45;403;400;3;2.48
269058769682378;28-10-2025 19:06:38;PC;4.2;43.8;0.0;91.7;0.0;68.0;17.61;158;153;5;6.33
269058769682378;28-10-2025 19:06:42;PC;11.5;43.5;0.0;88.5;0.0;68.0;1.54;334;334;0;3.0
269058769682378;28-10-2025 19:06:45;PC;9.4;43.5;0.0;88.2;0.0;68.0;41.11;907;905;2;1.1
269058769682378;28-10-2025 19:06:48;PC;9.5;43.5;0.0;88.1;0.0;68.0;53.32;300;239;61;3.34
269058769682378;28-10-2025 19:06:51;PC;6.0;43.4;0.0;92.9;0.0;68.0;5.14;186;90;96;5.38
269058769682378;28-10-2025 19:06:54;PC;9.7;43.5;0.0;84.7;0.0;68.0;9.35;105;51;54;9.53
269058769682378;28-10-2025 19:06:57;PC;8.3;43.5;0.0;88.9;0.0;68.0;92.01;218;211;7;4.59
269058769682378;28-10-2025 19:07:00;PC;9.6;43.8;0.0;89.0;0.0;68.0;61.81;55;38;17;18.19
269058769682378;28-10-2025 19:07:03;PC;9.6;43.6;0.0;89.0;0.0;68.0;17.69;47;45;2;21.28
269058769682378;28-10-2025 19:07:06;PC;8.3;43.5;0.0;91.7;0.0;68.0;9.1;336;329;7;2.98
269058769682378;28-10-2025 19:07:10;PC;8.3;43.6;0.0;91.7;0.0;68.0;0.0;4;0;4;250.13
269058769682378;28-10-2025 19:07:13;PC;8.3;43.5;0.0;91.7;0.0;68.0;0.0;0;0;0;0.0
269058769682378;28-10-2025 19:07:16;PC;9.4;43.5;0.0;76.5;0.0;68.0;0.0;6;0;6;166.84
269058769682378;28-10-2025 19:07:19;PC;8.3;43.7;0.0;88.9;0.0;68.0;0.12;131;2;129;7.64
269058769682378;28-10-2025 19:07:22;PC;6.9;43.6;0.0;88.9;0.0;68.0;0.02;3;0;3;333.43
269058769682378;28-10-2025 19:07:25;PC;8.3;43.8;0.0;91.7;0.0;68.0;0.12;1;0;1;1000.65
269058769682378;28-10-2025 19:07:28;PC;7.1;43.7;0.0;87.1;0.0;68.0;0.0;2;0;2;500.27
269058769682378;28-10-2025 19:07:31;PC;7.7;43.7;0.0;89.7;0.0;68.0;0.02;7;0;7;143.01
269058769682378;28-10-2025 19:07:34;PC;6.9;43.6;0.0;84.7;0.0;68.0;0.08;0;0;0;0.0
269058769682378;28-10-2025 19:07:38;PC;6.9;43.7;0.0;88.9;0.0;68.0;0.0;12;0;12;83.42
269058769682378;28-10-2025 19:07:41;PC;5.6;43.7;0.0;91.7;0.0;68.0;0.02;11;0;11;90.97
269058769682378;28-10-2025 19:07:44;PC;7.1;43.7;0.0;89.3;0.0;68.0;0.02;3;0;3;333.5
